TAIL_NUM,MFR,MODEL,YEAR MFR
N207AN,EMBRAER,ERJ 170-200 LR,2015
N985AK,BOEING,737-9,2023
N77579,BOEING,737-9,2023
N17296,BOEING,737-8,2023
N324SH,BOEING,737-8,2020
N947DZ,BOEING,737-9GPER,
N981NN,BOEING,737-823,2015
N716NK,AIRBUS S A S,A321-271NX,2024
N906AT,BOEING,717-200,2001
N136AN,AIRBUS,A321-231,2015
N77552,BOEING,737-9,2023
N77295,BOEING,737-824,2005
N8918Q,BOEING,737-8,2024
N263AK,BOEING,737-990ER,2016
N992AU,AIRBUS,A321-231,2016
N660AW,AIRBUS INDUSTRIE,A320-232,2000
N330TJ,BOEING,737-8,2023
N715NK,AIRBUS,A321-271NX,2024
N894UA,AIRBUS,A319-132,2006
N782SM,EMBRAER,ERJ 170-100SU,2004
N637FR,AIRBUS,A321-271NX,2024
N967AT,BOEING,717-200,2001
N166NN,AIRBUS,A321-231,2016
N310JZ,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LR,2021
N953AK,BOEING,737-9,2022
N710NK,AIRBUS S A S,A321-271NX,2023
N990AK,BOEING,737-9,2023
N137AA,AIRBUS,A321-231,2015
245NV,AIRBUS,A320-214,
N214NN,EMBRAER S A,ERJ 170-200 LR,2015
N913AN,BOEING,737-823,1999
N941AK,BOEING,737-9,2022
N929AA,AIRBUS,A321-231,2017
N636FR,AIRBUS,A321-271NX,2024
N73299,BOEING,737-824,2005
N312BT,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LR,2021
N912AN,BOEING,737-823,1999
N37577,BOEING,737-9,2023
N17328,BOEING,737-8,2023
N969AK,BOEING,737-9,2023
N328TC,BOEING,737-8,2023
N313BS,EMBRAER S A,ERJ 170-200 LR,2024
N646FR,AIRBUS,A321-271NX,2024
N644FR,AIRBUS S A S,A321-271NX,2024
N120EE,AIRBUS INDUSTRIE,A321-231,2014
N17327,BOEING,737-8,
N130AN,AIRBUS,A321-231,2014
N147AA,AIRBUS,A321-231,2015
N633FR,AIRBUS,A321-271NX,2023
N990NK,AIRBUS,A320-271N,2024
N983AK,BOEING,737-9,2023
N790MK,EMBRAER,ERJ 170-100 SE,2004
N990AU,AIRBUS,A321-231,2016
N113DQ,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2019
N638FR,AIRBUS S A S,A321-271NX,2024
N13716,BOEING,737-724,1998
N986AN,AIRBUS,A321-231,2016
N639FR,AIRBUS,A321-271NX,2024
N635FR,AIRBUS,A321-271NX,2024
N953AT,BOEING,717-200,2000
295NV,AIRBUS,A320-214,
N603AT,BOEING,717-200,2001
N128DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019
N786SM,EMBRAER,ERJ 170-100 SE,2004
N8921Q,BOEING,737-8,2024
N891AT,BOEING,717-200,2004
N54711,BOEING,737-724,1998
N991NK,AIRBUS,A320-271N,2024
N321TG,BOEING,737-8,2023
N151AN,AIRBUS,A321-231,2015
N15710,BOEING,737-724,1998
N794JH,EMBRAER,ERJ 170-100 SE,2005
N69830,BOEING,737-924ER,2014
N111US,AIRBUS INDUSTRIE,A320-214,1999
N140AN,AIRBUS,A321-231,2015
N616NN,BOMBARDIER INC,CL-600-2D24,2017
N629NN,BOMBARDIER INC,CL-600-2D24,2015
N139AN,AIRBUS,A321-231,2015
N149AN,AIRBUS,A321-231,2015
N17564,BOEING,737-9,2023
N961AT,BOEING,717-200,2001
N641FR,AIRBUS S A S,A321-271NX,2024
N960DZ,BOEING,737-9GPER,
N382DN,AIRBUS,A321-211,2019
N956AK,BOEING,737-9,2023
N8931L,BOEING,737-8,2024
N146AA,AIRBUS,A321-231,2015
N923AT,BOEING,717-200,2005
N8945Q,BOEING,737-8,2025
N592NN,BOMBARDIER INC,CL-600-2D24,2016
N17361,BOEING,737-8,2024
N580NN,BOMBARDIER INC,CL-600-2D24,2015
N8947Q,BOEING,737-8,2025
N514AS,BOEING,737-890,2008
N331TK,BOEING,737-8,2023
N600NN,BOMBARDIER INC,CL-600-2D24,2016
N126UW,AIRBUS,A320-214,2009
N665FR,AIRBUS,A321-271NX,2025
N77585,BOEING,737-9,2024
N37353,BOEING,737-8,2024
N742NK,AIRBUS S A S,A321-271NX,2025
N17591,BOEING,737-9,2025
N711ZX,BOEING,757-231,1997
N154SY,EMBRAER S A,ERJ 170-200 LR,2016
N165SY,EMBRAER S A,ERJ 170-200 LR,2016
N8949Q,BOEING,737-8,2025
N125SY,EMBRAER S A,ERJ 170-200 LR,2014
N106SY,EMBRAER S A,ERJ 170-200 LR,2014
N742GR,EMBRAER,ERJ 170-100SU,2006
N580DT,AIRBUS S A S,A321-271NX,2024
N8951S,BOEING,737-8,2025
N589DT,AIRBUS S A S,A321-271NX,2025
N77592,BOEING,737-9,2025
N131SY,EMBRAER S A,ERJ 170-200 LR,2015
N583DT,AIRBUS S A S,A321-271NX,2024
N17309,BOEING,737-8,2023
N578DN,AIRBUS S A S,A321-271NX,2024
N709AL,BOEING,737-9,2023
N503DZ,AIRBUS,A321-271NX,2022
N950DZ,BOEING,737-9GPER,2013
N27366,BOEING,737-8,2025
N47288,BOEING,737-8,2022
N8946L,BOEING,737-8,2025
N957DZ,BOEING,737-9GPER,
N939DZ,BOEING,737-9GPER,
N330DU,AIRBUS CANADA LP,BD-500-1A11,2025
N855UA,AIRBUS,A319-131,2002
N325DU,AIRBUS CANADA LP,BD-500-1A11,2024
N37297,BOEING,737-8,2024
N3763D,BOEING,737-832,2001
N926AK,BOEING,737-9,2021
N304UF,BOEING,737-8,2025
N745NK,AIRBUS S A S,A321-271NX,
N961AK,BOEING,737-9,2023
N47360,BOEING,737-8,2025
N17363,BOEING,737-8,2025
N8943Q,BOEING,737-8,2025
N706TW,BOEING,757-2Q8,1997
N212NN,EMBRAER S A,ERJ 170-200 LR,2015
N216NN,EMBRAER S A,ERJ 170-200 LR,2015
N835AW,AIRBUS,A319-132,
N8941Q,BOEING,737-8,2025
N8940Q,BOEING,737-8,2025
N17359,BOEING,737-8,2025
N24706,BOEING,737-724,1998
N662FR,AIRBUS,A321-271NX,2024
N8942L,BOEING,737-8,2025
N315NH,EMBRAER S A,ERJ 170-200 LR,2024
N17349,BOEING,737-8,2024
N17583,BOEING,737-9,2024
N717TW,BOEING,757-231,1999
N276NN,EMBRAER S A,ERJ 170-200 LR,2019
N8944Q,BOEING,737-8,2025
N721TW,BOEING,757-231,1999
N202SY,EMBRAER S A,ERJ 170-200 LR,2016
N8948Q,BOEING,737-8,2025
N115NN,AIRBUS INDUSTRIE,A321-231,2014
N518AE,BOMBARDIER INC,CL-600-2C10,2003
N47369,BOEING,737-8,2025
N121SY,EMBRAER S A,ERJ 170-200 LR,2014
N8956Q,BOEING,737-8,2025
N959AT,BOEING,717-200,2001
N342SX,BOEING,737-8,2023
N609NN,BOMBARDIER INC,CL-600-2D24,2019
N781YX,EMBRAER S A,ERJ 170-200 LR,
N306UH,BOEING,737-8,2025
N77590,BOEING,737-9,2025
N8955Q,BOEING,737-8,2025
N200SY,EMBRAER S A,ERJ 170-200 LR,2016
N8958Q,BOEING,737-8,2025
N592AS,BOEING,737-890,2008
N744NK,AIRBUS S A S,A321-271NX,2025
N356TX,BOEING,737-8,2024
N307UJ,BOEING,737-8,2025
N854UA,AIRBUS,A319-131,2002
N506AS,BOEING,737-890,2008
N781EJ,EMBRAER,ERJ 170-100SU,2006
N667FR,AIRBUS S A S,A321-271NX,2025
N8957Q,BOEING,737-8,2025
N77584,BOEING,737-9,2025
N8959Q,BOEING,737-8,2025
N77588,BOEING,737-9,2024
N132SY,EMBRAER S A,ERJ 170-200 LR,2015
N205SY,EMBRAER S A,ERJ 170-200 LR,2017
N746NK,AIRBUS S A S,A321-271NX,2025
N506AE,BOMBARDIER INC,CL-600-2C10,2002
N17364,BOEING,737-8,2025
N820UA,AIRBUS INDUSTRIE,A319-131,1998
N17589,BOEING,737-9,2025
N303UE,BOEING,737-8,2025
N37365,BOEING,737-8,2025
N957XV,AIRBUS,A321-253N,2018
N664FR,AIRBUS S A S,A321-271NX,2025
N585DN,AIRBUS S A S,A321-271NX,2024
N437AN,AIRBUS,A321-253NX,2021
N429AN,AIRBUS,A321-253NX,2021
N316GS,EMBRAER S A,ERJ 170-200 LR,2024
N213SY,EMBRAER S A,ERJ 170-200 LR,2017
N588DT,AIRBUS S A S,A321-271NX,2024
N203SY,EMBRAER S A,ERJ 170-200 LR,2016
N17358,BOEING,737-8,2024
N37368,BOEING,737-8,2025
N211SY,EMBRAER S A,ERJ 170-200 LR,2017
N17596,BOEING,737-9,2025
N592DT,AIRBUS S A S,A321-271NX,2025
N114SY,EMBRAER,ERJ 170-200 LR,2014
N591DT,AIRBUS S A S,A321-271NX,2025
N668FR,AIRBUS,A321-271NX,2025
N8950L,BOEING,737-8,2025
N729AL,BOEING,737-9,2025
N47370,BOEING,737-8,2025
N309UL,BOEING,737-8,2025
N17362,BOEING,737-8,2024
N587DT,AIRBUS S A S,A321-271NX,2024
N77598,BOEING,737-9,2025
N576DN,AIRBUS,A321-271NX,2024
N17595,BOEING,737-9,
N47357,BOEING,737-8,2025
N130SY,EMBRAER S A,ERJ 170-200 LR,2015
N656AW,AIRBUS INDUSTRIE,A320-232,1999
N8954Q,BOEING,737-8,2025
N357TY,BOEING,737-8,2024
N326DU,AIRBUS CANADA LP,BD-500-1A11,2024
N8938Q,BOEING,737-8,2025
N347TT,BOEING,737-8,2024
N749BM,EMBRAER,ERJ 170-100 SE,2006
N744DB,EMBRAER,ERJ 170-100SU,2006
N27276,BOEING,737-8,2021
N751AB,EMBRAER,ERJ 170-100 SE,2005
N443AA,AIRBUS,A321-253NX,2021
N16703,BOEING,737-724,1998
N661AW,AIRBUS INDUSTRIE,A320-232,2000
N150NN,AIRBUS,A321-231,2015
N707TW,BOEING,757-2Q8,1997
N958AK,BOEING,737-9,2023
N76523,BOEING,737-824,2010
N8930S,BOEING,737-8,2024
N37352,BOEING,737-8,2024
N951AT,BOEING,717-200,2000
N648FR,AIRBUS S A S,A321-271NX,2024
N818MD,EMBRAER,ERJ 170-100SU,
N710TW,BOEING,757-2Q8,1997
N750BD,EMBRAER,ERJ 170-100 SE,2005
N737NK,AIRBUS S A S,A321-271NX,2024
N47298,BOEING,737-8,2024
N732NK,AIRBUS S A S,A321-271NX,2024
N709TW,BOEING,757-2Q8,1997
N740NK,AIRBUS S A S,A321-271NX,2024
N743MB,EMBRAER,ERJ 170-100SU,2006
N739AE,EMBRAER,ERJ 170-100 SE,2005
N329DD,EMBRAER S A,ERJ 170-200 LR,2015
N713TW,BOEING,757-2Q8,1997
N630NN,BOMBARDIER INC,CL-600-2D24,2015
N653FR,AIRBUS S A S,A321-271NX,2024
N823UA,AIRBUS INDUSTRIE,A319-131,1998
N224NN,EMBRAER S A,ERJ 170-200 LR,2016
N410AN,AIRBUS,A321-253NX,2019
N765US,AIRBUS INDUSTRIE,A319-112,2000
N13750,BOEING,737-724,1999
N806AW,AIRBUS INDUSTRIE,A319-132,1999
N105UW,AIRBUS INDUSTRIE,A320-214,1999
N805AW,AIRBUS INDUSTRIE,A319-132,1999
N798CC,EMBRAER,ERJ 170-100 SE,2005
N903AA,AIRBUS,A321-231,2017
N813AW,AIRBUS INDUSTRIE,A319-132,2000
N18223,BOEING,737-824,1998
N37348,BOEING,737-8,2024
N722US,AIRBUS INDUSTRIE,A319-112,1999
N725NK,AIRBUS S A S,A321-271NX,2024
N131NN,AIRBUS,A321-231,2015
N997AA,AIRBUS,A321-231,2017
N8933Q,BOEING,737-8,2024
N132AN,AIRBUS,A321-231,2015
N654FR,AIRBUS S A S,A321-271NX,2024
N934XJ,BOMBARDIER INC,CL-600-2D24,2008
N726NK,AIRBUS S A S,A321-271NX,2024
N723AL,BOEING,737-9,2024
N724AL,BOEING,737-9,2024
N355TW,BOEING,737-8,2024
N17356,BOEING,737-8,2024
N37281,BOEING,737-824,2003
N729NK,AIRBUS S A S,A321-271NX,2024
N17344,BOEING,737-8,2024
N768US,AIRBUS INDUSTRIE,A319-112,2000
N17341,BOEING,737-8,2024
N518AS,BOEING,737-890,2009
N17314,BOEING,737-8,2023
N62883,BOEING,737-924ER,2015
N908AA,AIRBUS,A321-231,2017
N655FR,AIRBUS S A S,A321-271NX,2024
N24715,BOEING,737-724,1998
N17289,BOEING,737-8,2023
N605NN,BOMBARDIER INC,CL-600-2D24,2019
N932DZ,BOEING,737-9GPER,
N117DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019
N951DX,BOEING,737-9GPER,
N739NK,AIRBUS S A S,A321-271NX,2024
N931DQ,BOEING,737-9GPER,2011
N8937Q,BOEING,737-8,2024
N17347,BOEING,737-8,2024
N327DU,AIRBUS CANADA LP,BD-500-1A11,2024
N610NN,BOMBARDIER INC,CL-600-2D24,2019
N651FR,AIRBUS S A S,A321-271NX,2024
N959DZ,BOEING,737-9GPER,2014
N424YX,EMBRAER S A,ERJ 170-200 LR,2014
N949DZ,BOEING,737-9GPER,
N936DZ,BOEING,737-9GPER,
N121HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007
N8935Q,BOEING,737-8,2025
N320DU,AIRBUS CANADA LP,BD-500-1A11,2023
N730NK,AIRBUS S A S,A321-271NX,2024
N941DZ,BOEING,737-9GPER,
N8936Q,BOEING,737-8,2025
N389DA,BOEING,737-832,2000
N17317,BOEING,737-8,2023
N47330,BOEING,737-8,2023
N335JS,EMBRAER S A,ERJ 170-200 LR,2015
N301DV,AIRBUS SAS,A321-213,2016
N8939Q,BOEING,737-8,2025
N705TW,BOEING,757-231,1997
N824AW,AIRBUS INDUSTRIE,A319-132,2001
N935DZ,BOEING,737-9GPER,2012
N937DZ,BOEING,737-9GPER,
N658FR,AIRBUS S A S,A321-271NX,2024
N898UA,AIRBUS,A319-132,2007
N942DZ,BOEING,737-9GPER,
N561NN,BOMBARDIER INC,CL-600-2D24,2014
N943DZ,BOEING,737-9GPER,
N822UA,AIRBUS INDUSTRIE,A319-131,1998
N348TU,BOEING,737-8,2024
N657FR,AIRBUS S A S,A321-271NX,2024
N962DZ,BOEING,737-9GPER,
N741NK,AIRBUS S A S,A321-271NX,2024
N727TW,BOEING,757-231,1999
N8925Q,BOEING,737-8,2024
N945DZ,BOEING,737-9GPER,2013
N958DZ,BOEING,737-9GPER,2014
N954DZ,BOEING,737-9GPER,2013
N986AT,BOEING,717-200,2001
N832AW,AIRBUS INDUSTRIE,A319-132,2001
N656FR,AIRBUS,A321-271NX,2024
N933DZ,BOEING,737-9GPER,
N8934Q,BOEING,737-8,2024
N948DZ,BOEING,737-9GPER,2013
N287NN,EMBRAER S A,ERJ 170-200 LR,2019
N47343,BOEING,737-8,2024
N952DZ,BOEING,737-9GPER,
N946DZ,BOEING,737-9GPER,
N953DZ,BOEING,737-9GPER,2013
N938DZ,BOEING,737-9GPER,
N27586,BOEING,737-9,2024
N940DU,BOEING,737-9GPER,
N398DA,BOEING,737-832,2000
N961DZ,BOEING,737-9GPER,2014
N944DZ,BOEING,737-9GPER,
N269NN,EMBRAER S A,ERJ 170-200 LR,2019
N956DZ,BOEING,737-9GPER,
N771XF,AIRBUS,A319-112,2003
N934DZ,BOEING,737-9GPER,
N931AK,BOEING,737-9,2021
N240NN,EMBRAER S A,ERJ 170-200 LR,2016
N313SY,EMBRAER S A,ERJ 170-200 LR,2022
N904AN,BOEING,737-823,1999
N8856S,BOEING,737-8,2023
N67846,BOEING,737-924ER,2015
N498UA,AIRBUS,A320-232,2002
N8863Q,BOEING,737-8,2023
N872UA,AIRBUS,A319-132,2003
N8870K,BOEING,737-8,2023
N892UA,AIRBUS,A319-132,2006
N290AK,BOEING,737-900ER,2018
N36476,BOEING,737-924ER,2013
N243SY,EMBRAER S A,ERJ 170-200 LR,2016
N8862Q,BOEING,737-8,2023
N317SY,EMBRAER S A,ERJ 170-200 LR,2022
N977AK,BOEING,737-9,2022
N611FR,AIRBUS,A321-271NX,2023
N252SY,EMBRAER S A,ERJ 170-200 LR,2016
N76519,BOEING,737-824,2010
N879UA,AIRBUS,A319-132,2005
292NV,AIRBUS,A320-214,
N326DN,AIRBUS SAS,A321-213,2017
N73291,BOEING,737-824,2004
N8868L,BOEING,737-8,2023
N612FR,AIRBUS,A321-271NX,2023
N919AN,BOEING,737-823,1999
N356NW,AIRBUS INDUSTRIE,A320-212,1998
N586NN,BOMBARDIER INC,CL-600-2D24,2016
N461AS,BOEING,737-990ER,2014
N259SY,EMBRAER S A,ERJ 170-200 LR,2017
N831UA,AIRBUS INDUSTRIE,A319-131,2000
N8866H,BOEING,737-8,2023
N881UA,AIRBUS,A319-132,2005
N963AN,BOEING,737-823,2001
N268AK,BOEING,737-900ER,2017
N77510,BOEING,737-824,2008
N526AS,BOEING,737-890,2009
N316SE,BOEING,737-8,2020
N699DL,BOEING,757-232,1999
N17285,BOEING,737-8,2022
N335RT,BOEING,737-8,2018
N403AS,BOEING,737-990ER,2012
319NV,AIRBUS,A319-111,2005
N77430,BOEING,737-924ER,2009
N27261,BOEING,737-8,2021
N334DN,AIRBUS SAS,A321-213,2017
N3749D,BOEING,737-832,2001
N951NN,BOEING,737-823,2014
N260AK,BOEING,737-990ER,2016
N810AW,AIRBUS INDUSTRIE,A319-132,1999
N6701,BOEING,757-232,1999
N954AK,BOEING,737-9,2022
N6714Q,BOEING,757-232,2000
N916AN,BOEING,737-823,1999
N4901U,AIRBUS,A320-232,2006
N517AS,BOEING,737-890,2008
N476UA,AIRBUS INDUSTRIE,A320-232,2001
N935AK,BOEING,737-9,2022
N326SJ,BOEING,737-8,2020
N8865L,BOEING,737-8,2023
N835UA,AIRBUS INDUSTRIE,A319-131,2001
N247SY,EMBRAER S A,ERJ 170-200 LR,2016
N304JB,EMBRAER,ERJ 190-100 IGW,2009
N963AK,BOEING,737-9,2023
N8864H,BOEING,737-8,2023
N68805,BOEING,737-924ER,2013
N8861Q,BOEING,737-8,2023
N423AS,BOEING,737-990ER,2013
N850UA,AIRBUS INDUSTRIE,A319-131,2002
N37555,BOEING,737-9,2023
N359PX,BOEING,737-800,2017
N8871Q,BOEING,737-8,2023
N66803,BOEING,737-924ER,2013
N8877Q,BOEING,737-8,2023
N376NW,AIRBUS,A320-212,2002
N306RC,BOEING,737-8,2017
N8873S,BOEING,737-8,2023
282NV,AIRBUS,A320-214,
N8880G,BOEING,737-8,2023
N899UA,AIRBUS,A319-132,2007
N314RH,BOEING,737-8,2018
N949AK,BOEING,737-9,
N983NN,BOEING,737-823,2015
N318TD,BOEING,737-8,2023
N609FR,AIRBUS,A321-271NX,
N313SB,BOEING,737-8,2019
N458UA,AIRBUS INDUSTRIE,A320-232,2000
N3751B,BOEING,737-832,2001
N968AK,BOEING,737-9,2023
N39728,BOEING,737-724,1999
N8879Q,BOEING,737-8,2023
N308RD,BOEING,737-8,2017
N38458,BOEING,737-924ER,2012
N480UA,AIRBUS INDUSTRIE,A320-232,2001
N17565,BOEING,737-9,2023
N324RA,BOEING,737-8,2017
N306SW,BOEING,737-8,2021
N8882Q,BOEING,737-8,2023
N321DH,AIRBUS SAS,A321-213,2017
N75436,BOEING,737-924ER,2009
N3736C,BOEING,737-832,2000
N8869L,BOEING,737-8,2023
N79402,BOEING,737-924,2001
N920AK,BOEING,737-9,2021
N8867Q,BOEING,737-8,2023
N3766,BOEING,737-832,2001
N61881,BOEING,737-924ER,2015
N525AS,BOEING,737-890,2009
N17294,BOEING,737-8,2023
N342RX,BOEING,737-8,2019
N432UA,AIRBUS INDUSTRIE,A320-232,1996
N77559,BOEING,737-9,2023
N37434,BOEING,737-924ER,2009
N551NW,BOEING,757-251,2001
N338RS,BOEING,737-8,2018
N68880,BOEING,737-924ER,2015
N373DA,BOEING,737-832,1998
N69818,BOEING,737-924ER,2014
N553AS,BOEING,737-890,2006
N3738B,BOEING,737-832,2000
N326RP,BOEING,737-8,2018
N37560,BOEING,737-9,2023
N375DA,BOEING,737-832,1998
N17557,BOEING,737-9,2023
N17752,BOEING,737-71Q,1999
N128UW,AIRBUS,A320-214,2010
N862DN,BOEING,737-932ER,2016
N248AK,BOEING,737-990ER,2016
N62884,BOEING,737-924ER,2015
N253AK,BOEING,737-990ER,2016
N158AN,AIRBUS,A321-231,2016
N531AS,BOEING,737-890,2010
N901AN,BOEING,737-823,1999
N431AS,BOEING,737-990ER,2013
276NV,AIRBUS,A320-214,2019
N102DN,AIRBUS,A321-211,2020
N861NN,BOEING,737-823,2010
N8857Q,BOEING,737-8,2023
N163AA,AIRBUS,A321-231,2016
N396FR,AIRBUS,A320-251N,2022
N933NN,BOEING,737-823,2013
N308SY,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LR,2020
N248NN,EMBRAER S A,ERJ 170-200 LR,2017
N68452,BOEING,737-924ER,2012
N235NN,EMBRAER S A,ERJ 170-200 LR,2016
N242SY,EMBRAER S A,ERJ 170-200 LR,2016
N255SY,EMBRAER S A,ERJ 170-200 LR,2016
N933XJ,BOMBARDIER INC,CL-600-2D24,2008
N433AS,BOEING,737-990ER,2013
N47275,BOEING,737-8,2022
N8853Q,BOEING,737-8,2023
N826UA,AIRBUS INDUSTRIE,A319-131,1999
N224AK,BOEING,737-990ER,2016
N306NY,BOEING,737-800,2016
315NV,AIRBUS,A319-111,
N8850Q,BOEING,737-8,2023
N246SY,EMBRAER S A,ERJ 170-200 LR,2016
N148AN,AIRBUS,A321-231,2015
N857NN,BOEING,737-823,2010
N345NB,AIRBUS,A319-114,
N27270,BOEING,737-8,2022
N937AK,BOEING,737-9,2022
N244SY,EMBRAER S A,ERJ 170-200 LR,2016
N320SY,EMBRAER S A,ERJ 170-200 LR,2022
N8841L,BOEING,737-8,2023
N17279,BOEING,737-8,2022
N536US,BOEING,757-251,1995
N280AK,BOEING,737-900ER,2017
N294SY,EMBRAER S A,ERJ 170-200 LR,2019
N689DL,BOEING,757-232,1998
N17272,BOEING,737-8,2022
N540US,BOEING,757-251,1996
N250SY,EMBRAER S A,ERJ 170-200 LR,2016
N17550,BOEING,737-9,
N37549,BOEING,737-9,2023
N8828L,BOEING,737-8,2022
N1804U,BOEING,737-8,2022
N8780Q,BOEING,737-8,2022
N809UA,AIRBUS INDUSTRIE,A319-131,1998
N544US,BOEING,757-251,1996
N305CL,EMBRAER S A,ERJ 170-200 LR,2022
N138EV,BOMBARDIER INC,CL-600-2D24,2009
N297SY,EMBRAER S A,ERJ 170-200 LR,2019
N183UW,AIRBUS INDUSTRIE,A321-211,2001
N37551,BOEING,737-9,2023
N488UA,AIRBUS INDUSTRIE,A320-232,2002
N527AS,BOEING,737-890,
N802UA,AIRBUS INDUSTRIE,A319-131,1997
N37471,BOEING,737-924ER,2013
N249NN,EMBRAER S A,ERJ 170-200 LR,2017
N73445,BOEING,737-924ER,2011
N805UA,AIRBUS INDUSTRIE,A319-131,1998
N27274,BOEING,737-8,2022
N256SY,EMBRAER S A,ERJ 170-200 LR,2017
N37536,BOEING,737-9,2022
N908AN,BOEING,737-823,1999
N323SG,BOEING,737-8,2020
N837UA,AIRBUS INDUSTRIE,A319-131,2001
N906AN,BOEING,737-823,1999
N226NN,EMBRAER S A,ERJ 170-200 LR,2016
N324SY,EMBRAER S A,ERJ 170-200 LR,2022
N237JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N877NN,BOEING,737-823,2011
N539US,BOEING,757-251,1996
N90024,AIRBUS,A319-115,2014
N980NK,AIRBUS,A320-271N,2023
N486AS,BOEING,737-990ER,2015
N884UA,AIRBUS,A319-132,2005
N910AN,BOEING,737-823,1999
N937AN,BOEING,737-823,2000
N17301,BOEING,737-8,2023
N902AN,BOEING,737-823,1999
N946AK,BOEING,737-9,2022
N57286,BOEING,737-8,2022
N977NK,AIRBUS,A320-271N,2023
N8798Q,BOEING,737-8,2023
N68834,BOEING,737-924ER,2014
N27287,BOEING,737-8,2023
N843UA,AIRBUS INDUSTRIE,A319-131,2001
334NV,AIRBUS,A319-111,2006
N8855Q,BOEING,737-8,2023
N765ST,EMBRAER,ERJ 170-100 LR,2006
N933AK,BOEING,737-9,2022
N903AN,BOEING,737-823,1999
N751UW,AIRBUS INDUSTRIE,A319-112,2000
N513AS,BOEING,737-890,2008
N979NK,AIRBUS SAS,A320-271N,2023
N8797Q,BOEING,737-8,2023
N8860S,BOEING,737-8,
N355NB,AIRBUS,A319-114,2002
N976NK,AIRBUS,A320-271N,2023
N428AS,BOEING,737-990ER,2016
N360DN,AIRBUS SAS,A321-213,2018
N614FR,AIRBUS,A321-271NX,2023
N78511,BOEING,737-824,2008
237NV,AIRBUS,A320-214,
N774JG,EMBRAER,ERJ 170-100 SE,2004
N47282,BOEING,737-8,2022
N829UA,AIRBUS INDUSTRIE,A319-131,2000
N47280,BOEING,737-8,2022
N970NK,AIRBUS SAS,A320-271N,2022
N260SY,EMBRAER S A,ERJ 170-200 LR,2017
N8846Q,BOEING,737-8,2023
N8009T,AIRBUS,A319-115,2013
N990AT,BOEING,717-200,2001
N17300,BOEING,737-8,2023
N776MS,EMBRAER,ERJ 170-100 SE,2004
N8848Q,BOEING,737-8,2023
N69824,BOEING,737-924ER,2014
N8858K,BOEING,737-8,2023
N285AK,BOEING,737-900ER,2018
N8852Q,BOEING,737-8,2023
N8845L,BOEING,737-8,2023
N37456,BOEING,737-924ER,2012
N236AK,BOEING,737-990ER,2016
N905AN,BOEING,737-823,1999
N73275,BOEING,737-824,2002
N305SY,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LR,2020
N8859Q,BOEING,737-8,2023
N27292,BOEING,737-8,2023
N610CZ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007
N8847Q,BOEING,737-8,2023
N104UW,AIRBUS INDUSTRIE,A320-214,1999
N537US,BOEING,757-251,1996
N826AW,AIRBUS INDUSTRIE,A319-132,
N323DN,AIRBUS SAS,A321-213,2017
N27251,BOEING,737-8,2021
N8854Q,BOEING,737-8,2023
N419AS,BOEING,737-990ER,2013
N27263,BOEING,737-8,2021
N77538,BOEING,737-800,2016
N8849Q,BOEING,737-8,2023
328NV,AIRBUS,A319-111,2006
N67812,BOEING,737-924ER,2014
N8875B,BOEING,737-8,2023
N894AT,BOEING,717-200,2004
N943AN,BOEING,737-823,2000
N8885Q,BOEING,737-8,2023
N77571,BOEING,737-9,2023
N76516,BOEING,737-824,2008
N630FR,AIRBUS,A321-271NX,2023
N37295,BOEING,737-8,2023
N17566,BOEING,737-9,2023
N626FR,AIRBUS,A321-271NX,
N973NK,AIRBUS,A320-271N,2023
N770JM,EMBRAER,ERJ 170-100 LR,2004
N208AN,EMBRAER S A,ERJ 170-200 LR,2015
N27283,BOEING,737-8,2023
N47293,BOEING,737-8,2023
N57299,BOEING,737-8,2023
N77575,BOEING,737-9,2023
N8900L,BOEING,737-8,2023
N17322,BOEING,737-8,2023
N8913S,BOEING,737-8,2023
N159AN,AIRBUS,A321-231,2016
N986NK,AIRBUS SAS,A320-271N,2023
N984NK,AIRBUS,A320-271N,2023
N315SD,BOEING,737-8,2020
N928AK,BOEING,737-9,2022
N771JV,EMBRAER,ERJ 170-100 LR,2005
N302SA,BOEING,737-8,2019
N706AL,BOEING,737-9,2023
278NV,AIRBUS,A320-214,2010
N77572,BOEING,737-9,2023
N137EV,BOMBARDIER INC,CL-600-2D24,2009
N8896L,BOEING,737-8,2023
N8908Q,BOEING,737-8,2023
N8893L,BOEING,737-8,2023
N8904L,BOEING,737-8,2023
N994AN,AIRBUS,A321-231,2016
N27290,BOEING,737-8,2023
N320TF,BOEING,737-8,2023
N37562,BOEING,737-9,2023
N321RL,BOEING,737-8,2018
247NV,AIRBUS,A320-214,2017
